Suburb,Postcode,HouseMedian$,UpdatedYr,UpdateMonth,,,
Hammondville,2170,695000,2016,6,,,2170
Hardys Bay,2257,600000,2016,6,,,2257
Harpers Hill,2321,417000,2016,6,,,2321
Harrington Park,2567,700000,2016,6,,,2567
Harris Park,2150,720000,2016,6,,,2150
Hassall Grove,2761,632000,2016,6,,,2761
Haymarket,2000,930000,2016,6,,,1208
Haywards Bay,2530,595000,2016,6,,,2530
Hazelgrove,2787,578000,2016,6,,,2787
Heathcote,2233,900000,2016,6,,,2233
Heatherbrae,2324,449000,2016,6,,,2324
Hebersham,2770,632000,2016,6,,,2770
Heckenberg,2168,695000,2016,6,,,2168
Heddon Greta,2321,417000,2016,6,,,2321
Helensburgh,2508,595000,2016,6,,,2508
Henley,2111,1780000,2016,6,,,2111
Higher Macdonald,2775,635000,2016,6,,,2775
Highfields,2289,491000,2016,6,,,2289
Hillsborough,2290,491000,2016,6,,,2290
Hillsborough,2320,417000,2016,6,,,2290
Hillsdale,2036,861000,2016,6,,,2036
Hinchinbrook,2168,695000,2016,6,,,2168
Hobartville,2753,635000,2016,6,,,2753
Holgate,2250,600000,2016,6,,,2250
Holmesville,2286,491000,2016,6,,,2286
Holsworthy,2173,695000,2016,6,,,2173
Homebush,2140,715000,2016,6,,,2140
Homebush West,2140,708000,2016,6,,,2140
Horningsea Park,2171,695000,2016,6,,,2171
Hornsby,2077,1070000,2016,6,,,1630
Horseshoe Bend,2320,417000,2016,6,,,2320
Horsfield Bay,2256,600000,2016,6,,,2256
Horsley,2530,595000,2016,6,,,2530
Horsley Park,2175,700000,2016,6,,,2175
Hoxton Park,2171,695000,2016,6,,,2171
Hunters Hill,2110,1780000,2016,6,,,2110
Huntingwood,2148,632000,2016,6,,,2148
Huntley,2530,595000,2016,6,,,2530
Huntleys Cove,2111,1780000,2016,6,,,2111
Huntleys Point,2111,1780000,2016,6,,,2111
Hurlstone Park,2193,700000,2016,6,,,2193
Hurstville,2220,773000,2016,6,,,1493
Hurstville Grove,2220,880000,2016,6,,,2220
Illawong,2234,900000,2016,6,,,2234
Ingleburn,2565,545000,2016,6,,,1890
Ingleside Heights,#N/A,1391000,2016,6,,,#N/A
Islington,2296,491000,2016,6,,,2296
Jamberoo,2533,688000,2016,6,,,2533
Jamisontown,2750,589000,2016,6,,,2750
Jannali,2226,900000,2016,6,,,2226
Jaunter,2787,578000,2016,6,,,2787
Jerrara,2533,688000,2016,6,,,2533
Jesmond,2299,491000,2016,6,,,2299
Jewells,2280,491000,2016,6,,,2280
Jilliby,2259,480000,2016,6,,,2259
Jordan Springs,2747,589000,2016,6,,,#N/A
Kahibah,2290,491000,2016,6,,,2290
Kanahooka,2530,595000,2016,6,,,2530
Kanangra,2787,578000,2016,6,,,2787
Kangy Angy,2258,480000,2016,6,,,2258
Kanwal,2259,480000,2016,6,,,2259
Kareela,2232,900000,2016,6,,,2232
Kariong,2250,600000,2016,6,,,2250
Karuah,2324,449000,2016,6,,,2324
Kearns,2558,545000,2016,6,,,2558
Kearsley,2325,316000,2016,6,,,2325
Keinbah,2320,417000,2016,6,,,2320
Keiraville,2500,595000,2016,6,,,2500
Kellyville,2155,1089000,2016,6,,,2155
Kellyville Ridge,2155,632000,2016,6,,,2155
Kembla Grange,2526,595000,2016,6,,,2526
Kembla Heights,2526,595000,2016,6,,,2526
Kemblawarra,2505,595000,2016,6,,,2505
Kensington,2033,1100000,2016,6,,,1465
Kenthurst,2156,1089000,2016,6,,,2156
Kentlyn,2560,545000,2016,6,,,2560
Kiama,2533,688000,2016,6,,,2533
Kiama Downs,2533,688000,2016,6,,,2533
Kiama Heights,2533,688000,2016,6,,,2533
Kilaben Bay,2283,491000,2016,6,,,2283
Killara,2071,1600000,2016,6,,,2071
Killarney Heights,2087,1035000,2016,6,,,2087
Killarney Vale,2261,480000,2016,6,,,2261
Killcare,2257,600000,2016,6,,,2257
Killcare Heights,2257,600000,2016,6,,,2257
Kincumber,2251,600000,2016,6,,,2251
Kincumber South,2251,600000,2016,6,,,2251
Kings Langley,2147,632000,2016,6,,,2147
Kings Park,2148,632000,2016,6,,,2148
Kingsford,2032,1100000,2016,6,,,2032
Kingswood,2747,589000,2016,6,,,2340
Kirrawee,2232,900000,2016,6,,,2232
Kirribilli,2061,1050000,2016,6,,,2061
Kitchener,2325,316000,2016,6,,,2325
Knights Hill,2577,688000,2016,6,,,2577
Kogarah,2217,880000,2016,6,,,2217
Kogarah Bay,2217,880000,2016,6,,,2217
Koolewong,2256,600000,2016,6,,,2256
Koonawarra,2530,595000,2016,6,,,2530
Kooragang,2304,491000,2016,6,,,2304
Kotara,2289,491000,2016,6,,,2289
Kotara East,2305,491000,2016,6,,,2305
Kotara South,2289,491000,2016,6,,,2289
Kurmond,2757,635000,2016,6,,,2757
Kurnell,2231,900000,2016,6,,,2231
Kurraba Point,2089,1050000,2016,6,,,#N/A
Kurri Kurri,2327,316000,2016,6,,,2327
Kyeemagh,2216,760000,2016,6,,,2216
Kyle Bay,2221,880000,2016,6,,,2221
La Perouse,2036,1100000,2016,6,,,2036
Lake Haven,2263,480000,2016,6,,,2263
Lake Heights,2502,595000,2016,6,,,2502
Lake Munmorah,2259,480000,2016,6,,,2259
Lakelands,2282,491000,2016,6,,,2282
Lakemba,2195,700000,2016,6,,,2195
Lakesland,2572,680000,2016,6,,,2572
Lalor Park,2147,632000,2016,6,,,2147
Lambton,2299,491000,2016,6,,,2299
Lane Cove,2066,835000,2016,6,,,1595
Lane Cove West,2066,835000,2016,6,,,2066
Lansdowne,2163,820000,2016,6,,,2163
Lansvale,2166,700000,2016,6,,,2166
Largs,2320,417000,2016,6,,,2320
Lavender Bay,2060,1050000,2016,6,,,2060
Leichhardt,2040,1324000,2016,6,,,2040
Leightonfield,2163,820000,2016,6,,,#N/A
Lemon Tree,2259,480000,2016,6,,,2259
Lemon Tree Passage,2319,449000,2016,6,,,2319
Leonay,2750,589000,2016,6,,,2750
Lethbridge Park,2770,632000,2016,6,,,2770
Leumeah,2560,545000,2016,6,,,2560
Lewisham,2049,985000,2016,6,,,2049
Liberty Grove,2138,1006000,2016,6,,,2138
Lilli Pilli,2229,900000,2016,6,,,2229
Lilyfield,2040,1324000,2016,6,,,2040
Lilyvale,2508,595000,2016,6,,,2508
Lindfield,2070,1600000,2016,6,,,2070
Linley Point,2066,835000,2016,6,,,2066
Linns Hill,2570,680000,2016,6,,,#N/A
Lisarow,2250,600000,2016,6,,,2250
Little Bay,2036,1100000,2016,6,,,2036
Little Jilliby,2259,480000,2016,6,,,2259
Little Pelican,2281,491000,2016,6,,,2281
Little Wobby,2256,600000,2016,6,,,2256
Liverpool,2170,695000,2016,6,,,1871
Llandilo,2747,589000,2016,6,,,2747
Lochinvar,2321,417000,2016,6,,,2321
Loftus,2232,900000,2016,6,,,2232
Londonderry,2753,589000,2016,6,,,2753
Long Jetty,2261,480000,2016,6,,,2261
Long Point,2564,545000,2016,6,,,2330
Longueville,2066,835000,2016,6,,,2066
Loquat Valley,#N/A,1391000,2016,6,,,#N/A
Lorn,2320,417000,2016,6,,,2320
Louth Park,2320,417000,2016,6,,,2320
Lovett Bay,2105,1391000,2016,6,,,2105
Lower Macdonald,2775,635000,2016,6,,,2775
Lower Mangrove,2250,600000,2016,6,,,2250
Lucas Heights,2234,900000,2016,6,,,2234
Lugarno,2210,773000,2016,6,,,2210
Lurnea,2170,695000,2016,6,,,2170
Luskintyre,2321,417000,2016,6,,,2321
Macarthur Heights,#N/A,545000,2016,6,,,#N/A
MacMasters Beach,2251,600000,2016,6,,,2251
Macquarie Fields,2564,545000,2016,6,,,2564
Macquarie Hills,2285,491000,2016,6,,,2285
Macquarie Links,2565,545000,2016,6,,,2565
Macquarie Park,2113,1020000,2016,6,,,2113
Macquarie Pass,2577,525000,2016,6,,,2577
Macquarie University campus,#N/A,1020000,2016,6,,,#N/A
Maddens Plains,2508,595000,2016,6,,,2508
Magenta,2261,480000,2016,6,,,2261
Maianbar,2230,900000,2016,6,,,2230
Maitland,2320,417000,2016,6,,,2320
Maitland Bar,2850,417000,2016,6,,,2850
Maitland North,2320,417000,2016,6,,,2320
Maitland Vale,2320,417000,2016,6,,,2320
Malabar,2036,1100000,2016,6,,,2036
Mallabula,2319,449000,2016,6,,,2319
Manahan,2200,820000,2016,6,,,2200
Mangerton,2500,595000,2016,6,,,2500
Mangrove Creek,2250,600000,2016,6,,,2250
Mangrove Mountain,2250,600000,2016,6,,,2250
Manly,2095,1673000,2016,6,,,1655
Manly Vale,2093,1035000,2016,6,,,2093
Mannering Park,2259,480000,2016,6,,,2259
Marayong,2148,632000,2016,6,,,2148
Mardi,2259,480000,2016,6,,,2259
Marks Point,2280,491000,2016,6,,,2280
Marlow,2775,600000,2016,6,,,2775
Marmong Point,2284,491000,2016,6,,,2284
Maroota,2756,1089000,2016,6,,,2756
Maroubra,2035,1100000,2016,6,,,2035
Maroubra Junction,#N/A,1100000,2016,6,,,#N/A
Marrickville,2204,985000,2016,6,,,1475
Marsden Park,2765,632000,2016,6,,,2765
Marsfield,2122,1020000,2016,6,,,2122
Marshall Mount,2530,595000,2016,6,,,2530
Maryland,2287,491000,2016,6,,,2287
Maryville,2293,491000,2016,6,,,2293
Mascot,2020,861000,2016,6,,,1460
Matcham,2250,600000,2016,6,,,2250
Matraville,2036,1100000,2016,6,,,2036
Mayfield,2304,491000,2016,6,,,2304
Mayfield,2787,578000,2016,6,,,2304
Mayfield East,2304,491000,2016,6,,,2304
Mayfield North,2304,491000,2016,6,,,2304
Mayfield West,2304,491000,2016,6,,,2304
McCarrs Creek,2105,1391000,2016,6,,,#N/A
Mcgraths Hill,2756,635000,2016,6,,,2756
McMahons Point,2060,1050000,2016,6,,,2060
Meadowbank,2114,1020000,2016,6,,,2114
Medowie,2318,449000,2016,6,,,2318
Megalong,2785,578000,2016,6,,,2785
Mellong,2756,635000,2016,6,,,2756
Melrose Park,2114,1020000,2016,6,,,2114
Melville,2320,417000,2016,6,,,2320
Menai,2234,900000,2016,6,,,2234
Menangle,2568,680000,2016,6,,,2568
Menangle Park,2563,545000,2016,6,,,2563
Merewether,2291,491000,2016,6,,,2291
Merewether Heights,2291,491000,2016,6,,,2291
Merrylands,1855,708000,2016,6,,,2160
Merrylands,2160,720000,2016,6,,,2160
Merrylands West,2160,708000,2016,6,,,2160
Metford,2323,417000,2016,6,,,2323
Middle Camp,2281,491000,2016,6,,,2281
Middle Cove,2068,1486000,2016,6,,,2068
Middle Dural,2158,1089000,2016,6,,,2158
Middleton Grange,2171,695000,2016,6,,,2171
Miller,2168,695000,2016,6,,,#N/A
Millers Point,2000,930000,2016,6,,,2000
Millfield,2325,316000,2016,6,,,2325
Milperra,2214,820000,2016,6,,,1891
Milsons Point,2061,1050000,2016,6,,,1565
Minchinbury,2770,632000,2016,6,,,2770
Mindaribba,2320,417000,2016,6,,,2320
Minmi,2287,491000,2016,6,,,2287
Minnamurra,2533,688000,2016,6,,,2533
Minto,2566,545000,2016,6,,,2566
Minto Heights,2566,545000,2016,6,,,2566
Miranda,2228,900000,2016,6,,,1490
Mogo Creek,2775,635000,2016,6,,,2775
Mona Vale,2103,1391000,2016,6,,,1658
Monterey,2217,760000,2016,6,,,2217
Mooney Mooney,2083,600000,2016,6,,,2083
Mooney Mooney Creek,2250,600000,2016,6,,,2250
Moore Park,2021,930000,2016,6,,,2021
Moorebank,2170,695000,2016,6,,,1875
Morisset,2264,471000,2016,6,,,2264
Morning Bay,2108,1391000,2016,6,,,2108
Morpeth,2321,417000,2016,6,,,2321
Mortdale,2223,773000,2016,6,,,2223
Mortlake,2137,1006000,2016,6,,,2137
Mosman,2088,1490000,2016,6,,,2088
Mount Annan,2567,700000,2016,6,,,2567
Mount Dee,2320,417000,2016,6,,,2320
Mount Druitt,2770,632000,2016,6,,,2770
Mount Elliot,2250,600000,2016,6,,,2250
Mount Irvine,2786,578000,2016,6,,,2786
Mount Keira,2500,595000,2016,6,,,2500
Mount Kembla,2526,595000,2016,6,,,2526
Mount Lewis,2190,820000,2016,6,,,2190
Mount Olive,2787,578000,2016,6,,,2330
Mount Ousley,2519,595000,2016,6,,,2519
Mount Pleasant,2519,595000,2016,6,,,2519
Mount Saint Thomas,2500,595000,2016,6,,,2500
Mount Tomah,2758,578000,2016,6,,,2758
Mount Vernon,2178,589000,2016,6,,,2178
Mount Victoria,2786,578000,2016,6,,,2786
Mount Vincent,2323,417000,2016,6,,,2323
Mount Werong,2787,578000,2016,6,,,2787
Mount White,2250,600000,2016,6,,,2250
Mount Wilson,2786,578000,2016,6,,,2786
Mozart,2787,578000,2016,6,,,2787
Mulgoa,2745,589000,2016,6,,,2745
Mulgrav,2756,635000,2016,6,,,#N/A
Murrays Beach,2281,491000,2016,6,,,2281
Narara,2250,600000,2016,6,,,2250
Narellan,2567,700000,2016,6,,,2567
Narellan Vale,2567,700000,2016,6,,,2567
Naremburn,2065,1486000,2016,6,,,2065
Narraweena,2099,1035000,2016,6,,,2099
Nattai River,2570,680000,2016,6,,,#N/A
Neath,2326,316000,2016,6,,,2326
Nelson,2765,1089000,2016,6,,,2550
Nelson Bay,2315,449000,2016,6,,,2315
Nelsons Plains,2324,449000,2016,6,,,2324
Neutral Bay,2089,1050000,2016,6,,,2089
New Lambton,2305,491000,2016,6,,,2305
New Lambton Heights,2305,491000,2016,6,,,2305
Newcastle,2300,491000,2016,6,,,2300
Newcastle East,2300,491000,2016,6,,,2300
Newcastle University,2308,491000,2016,6,,,2308
Newcastle West,2302,491000,2016,6,,,2302
Newington,2127,720000,2016,6,,,2127
Newport,2106,1391000,2016,6,,,2106
Niagara Park,2250,600000,2016,6,,,2250
Norah Head,2263,480000,2016,6,,,2263
Noraville,2263,480000,2016,6,,,2263
Nords Wharf,2281,491000,2016,6,,,2281
North Avoca,2260,600000,2016,6,,,2260
North Balgowlah,2093,1035000,2016,6,,,2093
North Curl Curl,2099,1035000,2016,6,,,2099
North Gosford,2250,600000,2016,6,,,2250
North Kellyville,2155,1089000,2016,6,,,#N/A
North Lambton,2299,491000,2016,6,,,2299
North Manly,2100,1035000,2016,6,,,2100
North Narrabeen,2101,1391000,2016,6,,,2101
North Parramatta,2151,720000,2016,6,,,1750
North Richmond,2754,635000,2016,6,,,2754
North Ryde,2113,1020000,2016,6,,,2113
North St Ives,#N/A,1600000,2016,6,,,#N/A
North St Marys,2760,589000,2016,6,,,2760
North Strathfield,2137,1006000,2016,6,,,2137
North Sydney,2060,1050000,2016,6,,,2055
North Turramurra,2074,1600000,2016,6,,,2074
North Wahroonga,2076,1600000,2016,6,,,2076
North Willoughby,2068,1486000,2016,6,,,2068
North Wollongong,2500,595000,2016,6,,,2500
Northbridge,2063,1486000,2016,6,,,2063
Northmead,2152,720000,2016,6,,,2152
Northwood,2066,835000,2016,6,,,2066
Norway,2787,578000,2016,6,,,2787
Oakhampton,2320,417000,2016,6,,,2320
Oakhampton Heights,2320,417000,2016,6,,,2320
Oakhurst,2761,632000,2016,6,,,2761
Oakville,2765,635000,2016,6,,,2765
Oatlands,2117,720000,2016,6,,,2117
Oberon,2787,578000,2016,6,,,2787
Old Guildford,2161,700000,2016,6,,,2161
Old Toongabbie,2146,720000,2016,6,,,2146
One Mile,2316,449000,2016,6,,,2316
One Tree Point,2211,820000,2016,6,,,#N/A
Orchard Hills,2748,589000,2016,6,,,2748
Osterley,2324,449000,2016,6,,,2324
Oswald,2321,417000,2016,6,,,2321
Otford,2508,595000,2016,6,,,2508
Ourimbah,2258,480000,2016,6,,,2258
Oxford Falls,2100,1035000,2016,6,,,2100
Oxley Park,2760,589000,2016,6,,,2760
Oyster Bay,2225,900000,2016,6,,,2225
Padstow Heights,2211,820000,2016,6,,,2211
Padstow,2211,820000,2016,6,,,2211
Pagewood,2035,861000,2016,6,,,2035
Palm Beach,2108,1391000,2016,6,,,2108
Palm Grove,2258,480000,2016,6,,,2258
Palmdale,2258,480000,2016,6,,,2258
Panania,2213,820000,2016,6,,,2213
Paradise Beach,2107,1391000,2016,6,,,2107
Parklea,2768,632000,2016,6,,,2768
Parramatta,2150,720000,2016,6,,,1740
Patonga,2256,600000,2016,6,,,2256
Paxton,2325,316000,2016,6,,,2325
Peakhurst,2210,773000,2016,6,,,2210
Peakhurst Heights,2210,773000,2016,6,,,2210
Pearl Beach,2256,600000,2016,6,,,2256
Peats Ridge,2250,600000,2016,6,,,2250
Pelaw Main,2327,316000,2016,6,,,2327
Pelican,2281,491000,2016,6,,,2281
Pemulwuy,2145,708000,2016,6,,,2145
Penrith,2750,589000,2016,6,,,2750
Penrose,2530,595000,2016,6,,,2530
Penshurst,2222,773000,2016,6,,,2222
Perrys Crossing,2775,635000,2016,6,,,2775
Petersham,2049,985000,2016,6,,,2049
Pheasants Nest,2574,680000,2016,6,,,2574
Phegans Bay,2256,600000,2016,6,,,2256
Phillip Bay,2036,1100000,2016,6,,,2036
Phoenix Park,2321,417000,2016,6,,,2321
Picketts Valley,2251,600000,2016,6,,,2251
Picnic Point,2213,820000,2016,6,,,2213
Pinny Beach,2281,491000,2016,6,,,2281
Pitnacree,2323,417000,2016,6,,,2323
Pitt Town,2756,635000,2016,6,,,2756
Pitt Town Bottoms,2756,635000,2016,6,,,2756
Pleasure Point,2172,695000,2016,6,,,2172
Plumpton,2761,632000,2016,6,,,2761
Point Clare,2250,600000,2016,6,,,2250
Point Frederick,2250,600000,2016,6,,,2250
Point Piper,2027,1709000,2016,6,,,2027
Pokolbin,2320,417000,2016,6,,,2320
Port Botany,2036,1100000,2016,6,,,2036
Port Hacking,2229,900000,2016,6,,,2229
Port Kembla,2505,595000,2016,6,,,2505
Port Stephens,#N/A,449000,2016,6,,,#N/A
Porters Retreat,2787,578000,2016,6,,,2787
Portland,2847,578000,2016,6,,,2847
Potts Hill,2143,820000,2016,6,,,2143
Potts Point,2011,930000,2016,6,,,1335
Prairiewood,2176,700000,2016,6,,,2176
Prestons,2170,695000,2016,6,,,2170
Pretty Beach,2257,600000,2016,6,,,2257
Primbee,2502,595000,2016,6,,,2502
Punchbowl,2196,820000,2016,6,,,2196
Putney,2112,1020000,2016,6,,,2112
Putty,2330,635000,2016,6,,,2330
Pymble,2073,1600000,2016,6,,,2073
Pyrmont,2009,930000,2016,6,,,2009
Quakers Hill,2763,632000,2016,6,,,2763
Queens Park,2022,1200000,2016,6,,,2022
Queenscliff,2096,1035000,2016,6,,,2096
Raby,2566,545000,2016,6,,,2566
Ramsgate,2217,760000,2016,6,,,2217
Ramsgate Beach,2217,760000,2016,6,,,2217
Randwick,2031,1100000,2016,6,,,2031
Rankin Park,2287,491000,2016,6,,,2287
Rathmines,2283,491000,2016,6,,,2283
Ravensdale,2259,480000,2016,6,,,2259
Raworth,2321,417000,2016,6,,,2321
Raymond Terrace,2324,449000,2016,6,,,2324
Redfern,2016,930000,2016,6,,,2016
Regentville,2745,589000,2016,6,,,2745
Reidtown,2519,595000,2016,6,,,2519
Revesby,2212,820000,2016,6,,,2212
Revesby Heights,2212,820000,2016,6,,,2212
Rhodes,2138,1006000,2016,6,,,2138
Richmond,2753,635000,2016,6,,,2753
Richmond Lowlands,2753,635000,2016,6,,,2753
Richmond Vale,2323,417000,2016,6,,,2323
Riverview,2066,835000,2016,6,,,2066
Rockdale,2216,760000,2016,6,,,2216
Rocky Point,2259,480000,2016,6,,,2259
Rodd Point,2046,1006000,2016,6,,,2046
Rookwood,2141,708000,2016,6,,,2141
Rooty Hill,2766,632000,2016,6,,,2766
Ropes Crossing,2760,632000,2016,6,,,2760
Rose Valley,2534,688000,2016,6,,,2534
Rosebrook,2320,417000,2016,6,,,2320
Rosehill,2142,720000,2016,6,,,2142
Roselands,2196,700000,2016,6,,,2196
Rosemeadow,2560,545000,2016,6,,,2560
Roseville Chase,2069,1600000,2016,6,,,2069
Rossmore,2557,695000,2016,6,,,2557
Rothbury,2320,417000,2016,6,,,2320
Rozelle,2039,1324000,2016,6,,,2039
Ruse,2560,545000,2016,6,,,2560
Rushcutters Bay,2011,930000,2016,6,,,2011
Russell Lea,2046,1006000,2016,6,,,2046
Russell Vale,2517,595000,2016,6,,,2517
Rutherford,2320,417000,2016,6,,,2320
Rydalmere,2116,720000,2016,6,,,2116
Ryde,2112,1020000,2016,6,,,1680
Ryhope,2283,491000,2016,6,,,2283
Sackville,2756,635000,2016,6,,,2756
Sackville North,2756,1089000,2016,6,,,2756
Saddleback Mountain,2533,688000,2016,6,,,2533
Sadleir,2168,695000,2016,6,,,2168
Salamander Bay,2317,449000,2016,6,,,2317
Salt Ash,2318,449000,2016,6,,,2318
Salt Pan Cove,#N/A,1391000,2016,6,,,#N/A
San Remo,2262,480000,2016,6,,,2262
Sand Point,#N/A,1391000,2016,6,,,#N/A
Sandgate,2304,491000,2016,6,,,2304
Sandringham,2219,760000,2016,6,,,2219
Sandy Point,2172,900000,2016,6,,,2172
Sans Souci,2219,880000,2016,6,,,2219
Saratoga,2251,600000,2016,6,,,2251
Scarborough,2515,595000,2016,6,,,2515
Scheyville,2756,635000,2016,6,,,2756
Schofields,2762,632000,2016,6,,,2762
Scotland Island,2105,1391000,2016,6,,,2105
Scotts Hill,2570,680000,2016,6,,,#N/A
Seaforth,2092,1673000,2016,6,,,2092
Seaham,2324,449000,2016,6,,,2324
Seahampton,2286,491000,2016,6,,,2286
Sefton,2162,820000,2016,6,,,2162
Seven Hills,2147,632000,2016,6,,,1730
Shalvey,2770,632000,2016,6,,,2770
Shanes Park,2747,632000,2016,6,,,2747
Shelly Beach,2261,480000,2016,6,,,2261
Shoal Bay,2315,491000,2016,6,,,2315
Shooters Hill,2787,578000,2016,6,,,2787
Shortland,2307,491000,2016,6,,,2307
Silverdale,2752,680000,2016,6,,,2752
Silverwater,2128,720000,2016,6,,,1811
Smeaton Grange,2567,700000,2016,6,,,2567
Soldiers Point,2317,449000,2016,6,,,2317
Somersby,2250,600000,2016,6,,,2250
South Coogee,2034,1100000,2016,6,,,2034
South Granville,2142,708000,2016,6,,,2142
South Hurstville,2221,880000,2016,6,,,2221
South Maitland,2320,417000,2016,6,,,2320
South Maroota,2756,1089000,2016,6,,,2756
South Penrith,2750,589000,2016,6,,,2750
South Turramurra,2074,1600000,2016,6,,,2074
South Warriewood,#N/A,1391000,2016,6,,,#N/A
South Wentworthville,2145,708000,2016,6,,,2145
South Windsor,2756,635000,2016,6,,,2756
Speers Point,2284,491000,2016,6,,,2284
Spencer,2775,600000,2016,6,,,2775
Spring Hill,2500,595000,2016,6,,,2500
Springfield,2250,600000,2016,6,,,2250
St Albans,2775,635000,2016,6,,,2775
St Andrews,2566,545000,2016,6,,,#N/A
St Clair,2759,589000,2016,6,,,2330
St Helens Park,2560,545000,2016,6,,,2560
St Huberts Island,2257,600000,2016,6,,,2257
St Ives,2075,1600000,2016,6,,,2075
St Ives Chase,2075,1600000,2016,6,,,2075
St Johns Park,2176,700000,2016,6,,,2176
St Peters,2044,985000,2016,6,,,2044
Stanhope Gardens,2768,632000,2016,6,,,2768
Stanmore,2048,985000,2016,6,,,2048
Stanwell Park,2508,595000,2016,6,,,2508
Stanwell Tops,2508,595000,2016,6,,,2508
Stockton,2295,491000,2016,6,,,2295
Stokes Point,#N/A,1391000,2016,6,,,#N/A
Strathfield,2135,715000,2016,6,,,1816
Strathfield South,2135,715000,2016,6,,,2136
Summer Hill,2287,491000,2016,6,,,2130
Summer Hill,2130,825000,2016,6,,,2130
Summerland Point,2259,480000,2016,6,,,2259
Surry Hills,2010,930000,2016,6,,,2010
Sutherland,2232,900000,2016,6,,,1499
Swan Bay,2324,449000,2016,6,,,2324
Swansea Heads,2281,491000,2016,6,,,2281
Sydenham,2044,985000,2016,6,,,2044
Sydney,2000,930000,2016,6,,,1001
Sydney Airport,2020,760000,2016,6,,,#N/A
Sylvania,2224,900000,2016,6,,,2224
Sylvania Waters,2224,900000,2016,6,,,2224
Tacoma,2259,480000,2016,6,,,2259
Tacoma South,2259,480000,2016,6,,,2259
Tahmoor,2573,680000,2016,6,,,2573
Tamarama,2026,1200000,2016,6,,,2026
Tanilba Bay,2319,449000,2016,6,,,2319
Tarana,2787,578000,2016,6,,,2787
Taren Point,2229,900000,2016,6,,,2229
Tarrawanna,2518,595000,2016,6,,,2518
Tascott,2250,600000,2016,6,,,2250
Taylors Beach,2316,449000,2016,6,,,2316
Taylors Point,2107,1391000,2016,6,,,2107
Telarah,2320,417000,2016,6,,,2320
Telopea,2117,720000,2016,6,,,2117
Tempe,2044,985000,2016,6,,,2044
Ten Mile Hollow,2250,635000,2016,6,,,2250
Tenambit,2323,417000,2016,6,,,2323
Tennyson,2754,635000,2016,6,,,2754
Tennyson Point,2111,1020000,2016,6,,,2111
Teralba,2284,491000,2016,6,,,2284
Terrey Hills,2084,1035000,2016,6,,,2084
Terrigal,2260,600000,2016,6,,,2260
The Basin,2108,1391000,2016,6,,,2108
The Entrance,2261,480000,2016,6,,,2261
The Entrance North,2261,480000,2016,6,,,2261
The Hill,2300,491000,2016,6,,,2300
The Junction,2291,491000,2016,6,,,2291
The Meadows,2787,578000,2016,6,,,2787
The Peaks,2787,680000,2016,6,,,#N/A
The Ponds,2769,632000,2016,6,,,2769
The Rocks,2000,930000,2016,6,,,2000
The Slopes,2754,635000,2016,6,,,2754
Thirlmere,2572,680000,2016,6,,,2572
Thirroul,2515,595000,2016,6,,,2515
Tighes Hill,2297,491000,2016,6,,,2297
Tilligerry Creek,2319,449000,2016,6,,,#N/A
Tingira Heights,2290,491000,2016,6,,,2290
Tomago,2322,449000,2016,6,,,2322
Toolijooa,2534,688000,2016,6,,,2534
Toowoon Bay,2261,480000,2016,6,,,2261
Top Ryde,2112,1020000,2016,6,,,#N/A
Toukley,2263,480000,2016,6,,,2263
Towlers Bay,#N/A,1391000,2016,6,,,#N/A
Towradgi,2518,595000,2016,6,,,2518
Tregear,2770,632000,2016,6,,,2770
Tuggerah,2259,480000,2016,6,,,2259
Tuggerawong,2259,480000,2016,6,,,2259
Tumbi Umbi,2261,480000,2016,6,,,2261
Tumbledown Dick,#N/A,1391000,2016,6,,,#N/A
Turimetta,#N/A,1391000,2016,6,,,#N/A
Turramurra,2074,1600000,2016,6,,,2074
Turrella,2205,760000,2016,6,,,2205
Ultimo,2007,930000,2016,6,,,2007
Umina,2257,600000,2016,6,,,#N/A
Unanderra,2526,595000,2016,6,,,2526
University Of Wollongong,2522,595000,2016,6,,,2522
Upper Colo,2756,635000,2016,6,,,2756
Upper Kangaroo Valley,2577,688000,2016,6,,,2577
Upper Macdonald,2775,635000,2016,6,,,2775
Upper Mangrove,2250,600000,2016,6,,,2250
Valentine,2280,491000,2016,6,,,2280
Varroville,2566,545000,2016,6,,,2566
Voyager Point,2172,695000,2016,6,,,2172
Wadalba,2259,480000,2016,6,,,2259
Wagstaffe,2257,600000,2016,6,,,2257
Wahroonga,2076,1600000,2016,6,,,2076
Wakeley,2176,700000,2016,6,,,2176
Wallacia Heights,2745,680000,2016,6,,,#N/A
Wallarah,2259,480000,2016,6,,,2259
Wallerawang,2845,578000,2016,6,,,2845
Wallsend,2287,491000,2016,6,,,2287
Wallsend South,2287,491000,2016,6,,,2287
Wamberal,2260,600000,2016,6,,,2260
Warabrook,2304,491000,2016,6,,,2304
Waratah,2298,491000,2016,6,,,2298
Waratah West,2298,491000,2016,6,,,2298
Wareemba,2046,1006000,2016,6,,,2046
Warnervale,2259,480000,2016,6,,,2259
Warragamba,2752,680000,2016,6,,,2752
Warrawee,2074,1600000,2016,6,,,2074
Warrawong,2502,595000,2016,6,,,2502
Warriewood,2102,1391000,2016,6,,,2102
Warriewood Beach,#N/A,1391000,2016,6,,,#N/A
Warwick Farm,2170,695000,2016,6,,,2170
Watanobbi,2259,480000,2016,6,,,2259
