Suburb,Postcode,HouseMedian$,UpdatedYr,UpdateMonth,,,
Aberglasslyn,2320,417000,2016,6,,,2320
Abermain,2326,316000,2016,6,,,2326
Acacia Gardens,2763,632000,2016,6,,,2763
Adamstown,2289,491000,2016,6,,,2289
Adamstown Heights,2289,491000,2016,6,,,2289
Airds,2560,545000,2016,6,,,2560
Akuna Bay,2084,1391000,2016,6,,,#N/A
Alexandria,2015,930000,2016,6,,,1435
Alfords Point,2234,900000,2016,6,,,2234
Alison,2259,480000,2016,6,,,2259
Allambie Heights,2100,1035000,2016,6,,,2100
Allandale,2320,417000,2016,6,,,2320
Allawah,2218,880000,2016,6,,,2218
Ambarvale,2560,545000,2016,6,,,2560
Anambah,2320,417000,2016,6,,,2320
Anna Bay,2316,449000,2016,6,,,2316
Annangrove,2156,1089000,2016,6,,,2156
Appin,2560,680000,2016,6,,,2560
Arcadia Vale,2283,491000,2016,6,,,2283
Argenton,2284,491000,2016,6,,,2284
Arncliffe,2205,760000,2016,6,,,2205
Arndell Park,2148,632000,2016,6,,,2148
Artarman Industrial Area,#N/A,1486000,2016,6,,,#N/A
Artarmon,2064,1486000,2016,6,,,1570
Ashbury,2193,700000,2016,6,,,2193
Ashcroft,2168,695000,2016,6,,,2168
Ashfield,2131,825000,2016,6,,,1800
Ashtonfield,2323,417000,2016,6,,,2323
Auburn,2144,708000,2016,6,,,1835
Austinmer,2515,595000,2016,6,,,2515
Austral,2179,695000,2016,6,,,2179
Avalon Beach,2107,1391000,2016,6,,,2107
Avalon North,#N/A,1391000,2016,6,,,#N/A
Avoca Beach,2251,600000,2016,6,,,2251
Avondale,2530,595000,2016,6,,,2530
Awaba,2283,491000,2016,6,,,2283
Balgowlah,2093,1673000,2016,6,,,2093
Balgowlah Heights,2093,1673000,2016,6,,,2093
Balgownie,2519,595000,2016,6,,,2519
Balickera,2324,449000,2016,6,,,2324
Balmain,2041,1324000,2016,6,,,2041
Balmain East,2041,1324000,2016,6,,,2041
Balmoral,2283,491000,2016,6,,,2283
Balmoral,2571,578000,2016,6,,,2283
Bangor,1836,900000,2016,6,,,2234
Banksia,2216,760000,2016,6,,,2216
Banksmeadow,2019,861000,2016,6,,,2019
Bankstown,1795,820000,2016,6,,,1885
Bankstown Aerodrome,2200,820000,2016,6,,,2200
Bar Beach,2300,491000,2016,6,,,2300
Bar Point,2083,600000,2016,6,,,2083
Barangaroo,2000,930000,2016,6,,,#N/A
Barden Ridge,2234,900000,2016,6,,,2234
Bardwell Park,2207,760000,2016,6,,,2207
Bardwell Valley,2207,760000,2016,6,,,2207
Bargo,2574,680000,2016,6,,,2574
Bargo River,2573,680000,2016,6,,,#N/A
Barren Grounds,2577,688000,2016,6,,,2577
Barrenjoey,#N/A,1391000,2016,6,,,#N/A
Bass Hill,2197,820000,2016,6,,,2197
Bateau Bay,2261,480000,2016,6,,,2261
Bayview,2104,1391000,2016,6,,,2104
Beacon Hill,2100,1035000,2016,6,,,2100
Beaconsfield,2015,930000,2016,6,,,2015
Beaumont Hills,2155,1089000,2016,6,,,2155
Beecroft,2119,720000,2016,6,,,2119
Belfield,2191,700000,2016,6,,,2191
Bell,2786,578000,2016,6,,,2786
Bella Vista,2153,1089000,2016,6,,,2153
Bellambi,2518,595000,2016,6,,,2518
Bellbird,2325,316000,2016,6,,,2325
Bellevue Hill,2023,1709000,2016,6,,,2023
Belmont North,2280,491000,2016,6,,,2280
Belmont South,2280,491000,2016,6,,,2280
Belmore,2192,700000,2016,6,,,2192
Belrose,2085,1035000,2016,6,,,2085
Bennetts Green,2290,491000,2016,6,,,2290
Bensville,2251,600000,2016,6,,,2251
Berala,2141,708000,2016,6,,,2141
Berkeley,2506,595000,2016,6,,,2506
Berkeley Vale,2261,480000,2016,6,,,2261
Berkshire Park,2765,589000,2016,6,,,2765
Berry Park,2321,417000,2016,6,,,2321
Beverley Park,2217,880000,2016,6,,,2217
Beverly Hills,2209,773000,2016,6,,,2209
Bexley,2207,760000,2016,6,,,2207
Bexley North,2207,760000,2016,6,,,2207
Bidwill,2770,632000,2016,6,,,2770
Bilgola Beach,2107,1391000,2016,6,,,#N/A
Bilgola Plateau,2107,1391000,2016,6,,,#N/A
Birchgrove,2041,1324000,2016,6,,,2041
Birmingham Gardens,2287,491000,2016,6,,,2287
Birrong,2143,820000,2016,6,,,2143
Black Springs,2787,578000,2016,6,,,2787
Blackalls Park,2283,491000,2016,6,,,2283
Blackett,2770,632000,2016,6,,,2770
Blackheath,2785,578000,2016,6,,,2785
Blacksmiths,2281,491000,2016,6,,,2281
Blacksmiths Beach,#N/A,471000,2016,6,,,#N/A
Blacktown,1821,632000,2016,6,,,2148
Blackwall,2256,600000,2016,6,,,2256
Blair Athol,2560,545000,2016,6,,,2560
Blairmount,2559,545000,2016,6,,,2559
Blakehurst,2221,880000,2016,6,,,2221
Bligh Park,2756,635000,2016,6,,,2756
Blue Bay,2261,480000,2016,6,,,2261
Blue Haven,2262,480000,2016,6,,,2262
Boat Harbour,2316,449000,2016,6,,,2316
Bobs Farm,2316,449000,2016,6,,,2316
Bolton Point,2283,491000,2016,6,,,2283
Bolwarra,2320,417000,2016,6,,,2320
Bolwarra Heights,2320,417000,2016,6,,,2320
Bombo,2533,688000,2016,6,,,2533
Bondi,2026,1200000,2016,6,,,2026
Bondi Beach,2026,1200000,2016,6,,,2026
Bondi Junction,2022,1200000,2016,6,,,1355
Bondi North,2026,1200000,2016,6,,,#N/A
Bonnet Bay,2226,900000,2016,6,,,2226
Bonnyrigg,2177,700000,2016,6,,,2177
Bonnyrigg Heights,2177,700000,2016,6,,,2177
Booker Bay,2257,600000,2016,6,,,2257
Boolaroo,2284,491000,2016,6,,,2284
