State,Suburb,Postcode,HouseMedian$,UpdatedYr,UpdateMonth,,,VLOOKUP POSTCODE
NSW,Oak Flats,2529,560000,2016,6,,,2529
NSW,Paddington,2021,1319500,2016,6,,,2021
NSW,Pendle Hill,2145,714000,2016,6,,,2145
NSW,Regents Park,2143,764000,2016,6,,,2143
NSW,Riverwood,2210,736500,2016,6,,,2210
NSW,Rosebery,2018,895500,2016,6,,,1445
NSW,Roseville,2069,1543000,2016,6,,,2069
NSW,Smithfield,2164,704000,2016,6,,,2164
NSW,Sydney Olympic Park,2127,714000,2016,6,,,#N/A
NSW,Villawood,2163,760000,2016,6,,,2163
NSW,Wallacia,2745,642000,2016,6,,,2745
NSW,Wentworthville,2145,714000,2016,6,,,2145
NSW,Westmead,2145,714000,2016,6,,,2145
NSW,Woodville,2321,433000,2016,6,,,2321
NSW,Yellow Rock,2527,560000,2016,6,,,2527
NSW,Yennora,2161,704000,2016,6,,,2161
NSW,Homebush West,2140,715000,2016,6,,,2140
NSW,Oatley,2223,773000,2016,6,,,2223
NSW,Abbotsbury,2176,700000,2016,6,,,2176
NSW,Abbotsford,2046,1006000,2016,6,,,2046
NSW,Aberdare,2325,316000,2016,6,,,2325
NSW,Aberglasslyn,2320,417000,2016,6,,,2320
NSW,Abermain,2326,316000,2016,6,,,2326
NSW,Acacia Gardens,2763,632000,2016,6,,,2763
NSW,Adamstown,2289,491000,2016,6,,,2289
NSW,Adamstown Heights,2289,491000,2016,6,,,2289
NSW,Airds,2560,545000,2016,6,,,2560
NSW,Akuna Bay,2084,1391000,2016,6,,,#N/A
NSW,Alexandria,2015,930000,2016,6,,,1435
NSW,Alfords Point,2234,900000,2016,6,,,2234
NSW,Alison,2259,480000,2016,6,,,2259
NSW,Allambie Heights,2100,1035000,2016,6,,,2100
NSW,Allandale,2320,417000,2016,6,,,2320
NSW,Allawah,2218,880000,2016,6,,,2218
NSW,Ambarvale,2560,545000,2016,6,,,2560
NSW,Anambah,2320,417000,2016,6,,,2320
NSW,Anna Bay,2316,449000,2016,6,,,2316
NSW,Annangrove,2156,1089000,2016,6,,,2156
NSW,Appin,2560,680000,2016,6,,,2560
NSW,Arcadia Vale,2283,491000,2016,6,,,2283
NSW,Argenton,2284,491000,2016,6,,,2284
NSW,Arncliffe,2205,760000,2016,6,,,2205
NSW,Arndell Park,2148,632000,2016,6,,,2148
NSW,Artarman Industrial Area,#N/A,1486000,2016,6,,,#N/A
NSW,Artarmon,2064,1486000,2016,6,,,1570
NSW,Ashbury,2193,700000,2016,6,,,2193
NSW,Ashcroft,2168,695000,2016,6,,,2168
NSW,Ashfield,2131,825000,2016,6,,,1800
NSW,Ashtonfield,2323,417000,2016,6,,,2323
NSW,Auburn,2144,708000,2016,6,,,1835
NSW,Austinmer,2515,595000,2016,6,,,2515
NSW,Austral,2179,695000,2016,6,,,2179
NSW,Avalon Beach,2107,1391000,2016,6,,,2107
NSW,Avalon North,#N/A,1391000,2016,6,,,#N/A
NSW,Avoca Beach,2251,600000,2016,6,,,2251
NSW,Avondale,2530,595000,2016,6,,,2530
NSW,Awaba,2283,491000,2016,6,,,2283
NSW,Balgowlah,2093,1673000,2016,6,,,2093
NSW,Balgowlah Heights,2093,1673000,2016,6,,,2093
NSW,Balgownie,2519,595000,2016,6,,,2519
NSW,Balickera,2324,449000,2016,6,,,2324
NSW,Balmain,2041,1324000,2016,6,,,2041
NSW,Balmain East,2041,1324000,2016,6,,,2041
NSW,Balmoral,2283,491000,2016,6,,,2283
NSW,Balmoral,2571,578000,2016,6,,,2283
NSW,Bangor,1836,900000,2016,6,,,2234
NSW,Banksia,2216,760000,2016,6,,,2216
NSW,Banksmeadow,2019,861000,2016,6,,,2019
NSW,Bankstown,1795,820000,2016,6,,,1885
NSW,Bankstown Aerodrome,2200,820000,2016,6,,,2200
NSW,Bar Beach,2300,491000,2016,6,,,2300
NSW,Bar Point,2083,600000,2016,6,,,2083
NSW,Barangaroo,2000,930000,2016,6,,,#N/A
NSW,Barden Ridge,2234,900000,2016,6,,,2234
NSW,Bardwell Park,2207,760000,2016,6,,,2207
NSW,Bardwell Valley,2207,760000,2016,6,,,2207
NSW,Bargo,2574,680000,2016,6,,,2574
NSW,Bargo River,2573,680000,2016,6,,,#N/A
NSW,Barren Grounds,2577,688000,2016,6,,,2577
NSW,Barrenjoey,#N/A,1391000,2016,6,,,#N/A
NSW,Bass Hill,2197,820000,2016,6,,,2197
NSW,Bateau Bay,2261,480000,2016,6,,,2261
NSW,Bayview,2104,1391000,2016,6,,,2104
NSW,Beacon Hill,2100,1035000,2016,6,,,2100
NSW,Beaconsfield,2015,930000,2016,6,,,2015
NSW,Beaumont Hills,2155,1089000,2016,6,,,2155
NSW,Beecroft,2119,720000,2016,6,,,2119
NSW,Belfield,2191,700000,2016,6,,,2191
NSW,Bell,2786,578000,2016,6,,,2786
NSW,Bella Vista,2153,1089000,2016,6,,,2153
NSW,Bellambi,2518,595000,2016,6,,,2518
NSW,Bellbird,2325,316000,2016,6,,,2325
NSW,Bellevue Hill,2023,1709000,2016,6,,,2023
NSW,Belmont North,2280,491000,2016,6,,,2280
NSW,Belmont South,2280,491000,2016,6,,,2280
NSW,Belmore,2192,700000,2016,6,,,2192
NSW,Belrose,2085,1035000,2016,6,,,2085
NSW,Bennetts Green,2290,491000,2016,6,,,2290
NSW,Bensville,2251,600000,2016,6,,,2251
NSW,Berala,2141,708000,2016,6,,,2141
NSW,Berkeley,2506,595000,2016,6,,,2506
NSW,Berkeley Vale,2261,480000,2016,6,,,2261
NSW,Berkshire Park,2765,589000,2016,6,,,2765
NSW,Berry Park,2321,417000,2016,6,,,2321
NSW,Beverley Park,2217,880000,2016,6,,,2217
NSW,Beverly Hills,2209,773000,2016,6,,,2209
NSW,Bexley,2207,760000,2016,6,,,2207
NSW,Bexley North,2207,760000,2016,6,,,2207
NSW,Bidwill,2770,632000,2016,6,,,2770
NSW,Bilgola Beach,2107,1391000,2016,6,,,#N/A
NSW,Bilgola Plateau,2107,1391000,2016,6,,,#N/A
NSW,Birchgrove,2041,1324000,2016,6,,,2041
NSW,Birmingham Gardens,2287,491000,2016,6,,,2287
NSW,Birrong,2143,820000,2016,6,,,2143
NSW,Black Springs,2787,578000,2016,6,,,2787
NSW,Blackalls Park,2283,491000,2016,6,,,2283
NSW,Blackett,2770,632000,2016,6,,,2770
NSW,Blackheath,2785,578000,2016,6,,,2785
NSW,Blacksmiths,2281,491000,2016,6,,,2281
NSW,Blacksmiths Beach,#N/A,471000,2016,6,,,#N/A
NSW,Blacktown,1821,632000,2016,6,,,2148
NSW,Blackwall,2256,600000,2016,6,,,2256
NSW,Blair Athol,2560,545000,2016,6,,,2560
NSW,Blairmount,2559,545000,2016,6,,,2559
NSW,Blakehurst,2221,880000,2016,6,,,2221
NSW,Bligh Park,2756,635000,2016,6,,,2756
NSW,Blue Bay,2261,480000,2016,6,,,2261
NSW,Blue Haven,2262,480000,2016,6,,,2262
NSW,Boat Harbour,2316,449000,2016,6,,,2316
NSW,Bobs Farm,2316,449000,2016,6,,,2316
NSW,Bolton Point,2283,491000,2016,6,,,2283
NSW,Bolwarra,2320,417000,2016,6,,,2320
NSW,Bolwarra Heights,2320,417000,2016,6,,,2320
NSW,Bombo,2533,688000,2016,6,,,2533
NSW,Bondi,2026,1200000,2016,6,,,2026
NSW,Bondi Beach,2026,1200000,2016,6,,,2026
NSW,Bondi Junction,2022,1200000,2016,6,,,1355
NSW,Bondi North,2026,1200000,2016,6,,,#N/A
NSW,Bonnet Bay,2226,900000,2016,6,,,2226
NSW,Bonnyrigg,2177,700000,2016,6,,,2177
NSW,Bonnyrigg Heights,2177,700000,2016,6,,,2177
NSW,Booker Bay,2257,600000,2016,6,,,2257
NSW,Boolaroo,2284,491000,2016,6,,,2284
NSW,Booragul,2284,491000,2016,6,,,2284
NSW,Bossley Park,2176,700000,2016,6,,,2176
NSW,Botany,2019,861000,2016,6,,,1455
NSW,Botany Bay,#N/A,861000,2016,6,,,#N/A
NSW,Bouddi,2251,600000,2016,6,,,2251
NSW,Bow Bowing,2566,545000,2016,6,,,2566
NSW,Bowen Mountain,2753,635000,2016,6,,,2753
NSW,Box Head,2257,600000,2016,6,,,2257
NSW,Box Hill,2765,1089000,2016,6,,,2765
NSW,Bradbury,2560,545000,2016,6,,,2560
NSW,Brandy Hill,2324,449000,2016,6,,,2324
NSW,Branxton,2335,316000,2016,6,,,2335
NSW,Breakfast Point,2137,1006000,2016,6,,,2137
NSW,Brighton-Le-Sands,2216,760000,2016,6,,,2216
NSW,Bringelly,2556,695000,2016,6,,,2556
NSW,Broadmeadow,2292,491000,2016,6,,,2292
NSW,Brogers Creek,2535,688000,2016,6,,,2535
NSW,Bronte,2024,1200000,2016,6,,,2024
NSW,Brookvale,2100,1035000,2016,6,,,2100
NSW,Broughton Village,2535,688000,2016,6,,,2535
NSW,Brownsville,2530,595000,2016,6,,,2530
NSW,Brunkerville,2323,417000,2016,6,,,2323
NSW,Buchanan,2323,417000,2016,6,,,2323
NSW,Bucketty,2250,635000,2016,6,,,2250
NSW,Budderoo,2535,688000,2016,6,,,2535
NSW,Budgewoi,2262,480000,2016,6,,,2262
NSW,Budgewoi Peninsula,2262,480000,2016,6,,,2262
NSW,Buff Point,2262,480000,2016,6,,,2262
NSW,Bulli,2516,595000,2016,6,,,2516
NSW,Bundeena,2230,900000,2016,6,,,2230
NSW,Bungan Beach,#N/A,1391000,2016,6,,,#N/A
NSW,Bungan Head,#N/A,1391000,2016,6,,,#N/A
NSW,Bungarribee,2767,632000,2016,6,,,#N/A
NSW,Burraneer,2230,900000,2016,6,,,2230
NSW,Burwood,1814,878000,2016,6,,,1805
NSW,Burwood Heights,2136,878000,2016,6,,,2136
NSW,Busby,2168,695000,2016,6,,,2168
NSW,Buttaba,2283,491000,2016,6,,,2283
NSW,Buttai,2323,417000,2016,6,,,2323
NSW,Cabarita,2137,1006000,2016,6,,,2137
NSW,Cabramatta,2166,700000,2016,6,,,2166
NSW,Cabramatta West,2166,700000,2016,6,,,2166
NSW,Caddens,2747,589000,2016,6,,,#N/A
NSW,Calga,2250,600000,2016,6,,,2250
NSW,Callaghan,2308,491000,2016,6,,,2308
NSW,Cambridge Gardens,2747,589000,2016,6,,,2747
NSW,Cambridge Park,2747,589000,2016,6,,,2747
NSW,Camellia,2142,720000,2016,6,,,2142
NSW,Cameron Park,2285,491000,2016,6,,,2285
NSW,Cammeray,2062,1050000,2016,6,,,2062
NSW,Campbelltown,2560,545000,2016,6,,,2560
NSW,Campsie,2194,700000,2016,6,,,2194
NSW,Campvale,2318,449000,2016,6,,,2318
NSW,Cams Wharf,2281,491000,2016,6,,,2281
NSW,Canada Bay,2046,1006000,2016,6,,,2046
NSW,Canley Heights,2166,700000,2016,6,,,2166
NSW,Canley Vale,2166,700000,2016,6,,,2166
NSW,Canterbury,2193,700000,2016,6,,,2193
NSW,Canton Beach,2263,480000,2016,6,,,2263
NSW,Cardiff Heights,2285,491000,2016,6,,,2285
NSW,Cardiff South,2285,491000,2016,6,,,2285
NSW,Careel Bay,2107,1391000,2016,6,,,2107
NSW,Careel Head,#N/A,1391000,2016,6,,,#N/A
NSW,Carey Bay,2283,491000,2016,6,,,2283
NSW,Caringbah,2229,900000,2016,6,,,1495
NSW,Caringbah South,2229,900000,2016,6,,,#N/A
NSW,Carlingford,2118,720000,2016,6,,,2118
NSW,Carnes Hill,2171,695000,2016,6,,,#N/A
